config_case_key;config_case_label;input_hot_variation_C;input_m6_kg_s;input_outer_variation_label;input_outer_variation_mode;input_outer_variation_value;input_ua_scale_factor;input_ua_scale_percent;primary_beta;heat_Q_abs_kW;heat_Q_cond_kW;heat_Q_des_kW;heat_Q_evap_kW;kpi_COP;kpi_FR;state_21_m_kg_s;state_7_m_kg_s;n_feasible_physical_points;optimum_at_any_m6_boundary;optimum_at_lower_m6_boundary;optimum_at_upper_m6_boundary
parallel;Parallel (T13 = T15);100.0;0.5300000000000001;Abwärmetemperatur [°C];hot_temperature_C;100.0;nan;nan;0.11541541972979905;96.09687647454027;95.65630217885014;96.3332978659472;95.39857176833675;0.5012045032358929;13.784670220141411;0.03401095710350603;0.03844850776521247;71;False;False;False
series_desorber_to_evaporator;Serie Desorber → Verdampfer;100.0;0.5900000000000002;Abwärmetemperatur [°C];hot_temperature_C;100.0;nan;nan;0.12254588486911466;95.92953133473645;95.92511096126634;96.34750120088333;95.48490697342534;0.5000694733893452;15.318866502002924;0.03379479335886465;0.038514598970025515;71;False;False;False
series_evaporator_to_desorber;Serie Verdampfer → Desorber;100.0;0.5600000000000002;Abwärmetemperatur [°C];hot_temperature_C;100.0;nan;nan;0.1207514727129339;95.63043873486234;96.3495899423637;95.65317232151344;96.30258210700656;0.49819000748150516;14.441672182398621;0.0340943326411234;0.03877667301453658;71;False;False;False
parallel;Parallel (T13 = T15);105.0;0.5600000000000002;Abwärmetemperatur [°C];hot_temperature_C;105.0;nan;nan;0.111765567907466;118.97932805200833;117.95723987878321;119.29470920950126;117.61661965635737;0.5022103781257987;11.7758411464866;0.042239978935196924;0.04755498932380553;71;False;False;False
series_desorber_to_evaporator;Serie Desorber → Verdampfer;105.0;0.6300000000000002;Abwärmetemperatur [°C];hot_temperature_C;105.0;nan;nan;0.11864432995227733;118.92663306501854;118.28720645813688;119.5236267748688;117.66401537762444;0.5014031590590118;13.22912911647849;0.041972080493071086;0.047622182416774406;71;False;False;False
series_evaporator_to_desorber;Serie Verdampfer → Desorber;105.0;0.5900000000000002;Abwärmetemperatur [°C];hot_temperature_C;105.0;nan;nan;0.11632942921785801;118.45828608517797;118.92657397896485;118.4528457183572;118.90287729613961;0.49907490993146597;12.286059706904688;0.04243554477180831;0.04802190564550357;71;False;False;False
parallel;Parallel (T13 = T15);110.0;0.5900000000000002;Abwärmetemperatur [°C];hot_temperature_C;110.0;nan;nan;0.1094649712860478;141.89149831285062;140.32451971725118;142.3030744116482;139.883249631984;0.5028291104954862;10.397997500301432;0.05053046674862159;0.05674169473332691;71;False;False;False
series_desorber_to_evaporator;Serie Desorber → Verdampfer;110.0;0.6700000000000003;Abwärmetemperatur [°C];hot_temperature_C;110.0;nan;nan;0.11625355106848292;141.9853997540879;140.711418647503;142.80094386266214;139.86524358977582;0.502307690331652;11.795225550314356;0.050199135087190955;0.0568026441836158;71;False;False;False
series_evaporator_to_desorber;Serie Verdampfer → Desorber;110.0;0.6200000000000002;Abwärmetemperatur [°C];hot_temperature_C;110.0;nan;nan;0.11349237308625837;141.30353848512422;141.61996075945802;141.26705000643642;141.62171660958163;0.49950211942110806;10.806199591345507;0.05086290735613589;0.0573744723812567;71;False;False;False
parallel;Parallel (T13 = T15);115.0;0.6100000000000002;Abwärmetemperatur [°C];hot_temperature_C;115.0;nan;nan;0.1071547442394328;164.82092945072233;162.60330992203492;165.33403425320293;162.05594821165673;0.5034391346058164;9.249502681585085;0.0588826907524732;0.0659494916645037;71;False;False;False
